PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
MÁ-ROTAÇÃO INTESTINAL - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MEGACÓLON CONGÊNITO - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MEMBRANA DUODENAL - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PÂNCREAS ANULAR - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PERFURAÇÃO DUODENAL OU DELGADO - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PILOROMIOTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROCIDÊNCIA DO RETO - REDUÇÃO MANUAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROCTOCOLECTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROCTOCOLECTOMIA COM RESERVATÓRIO ILEAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Odontologia,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
PROCTOCOLECTOMIA POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROCTOCOLECTOMIA COM RESERVATÓRIO ILEAL POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSECÇÃO DE INTESTINO DELGADO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETOSSIGMOIDECTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETOSSIGMOIDECTOMIA ABDOMINAL POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TUMOR ANORRETAL - RESSECÇÃO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,INTESTINOS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ABSCESSO ANORRETAL - DRENAGEM,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ABSCESSO ISQUIO-RETAL - DRENAGEM,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CERCLAGEM ANAL,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORPO ESTRANHO DO RETO - RETIRADA,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CRIPTECTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DILATAÇÃO DO ÂNUS E/OU DO RETO,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESFINCTEROPLASTIA ANAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESFINCTEROTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESTENOSE ANAL - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXCISÃO DE PLICOMA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FISSURECTOMIA COM OU SEM ESFINCTEROTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FÍSTULA RETO-VAGINAL E FÍSTULA ANAL EM FERRADURA - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FISTULECTOMIA ANAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Odontologia,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
FISTULECTOMIA ANORRETAL COM ABAIXAMENTO MUCOSO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FISTULECTOMIA PERINEAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HEMORRÓIDAS - LIGADURA ELÁSTICA,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HEMORRÓIDAS - TRATAMENTO ESCLEROSANTE,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"HEMORROIDECTOMIA ABERTA OU FECHADA, COM OU SEM ESFINCTEROTOMIA",,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LACERAÇÃO ANORRETAL - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LESÃO ANAL - ELETROCAUTERIZAÇÃO,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PAPILECTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PÓLIPO RETAL - RESSECÇÃO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROLAPSO RETAL - ESCLEROSE,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROLAPSO RETAL - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PRURIDO ANAL - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECONSTITUIÇÃO DE ESFINCTER ANAL POR PLÁSTICA MUSCULAR,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECONSTRUÇÃO TOTAL ANOPERINEAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DE RETOCELE,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TROMBOSE HEMORROIDÁRIA - EXÉRESE,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,ÂNUS,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ABSCESSO HEPÁTICO - DRENAGEM CIRÚRGICA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ABSCESSO HEPÁTICO - DRENAGEM CIRÚRGICA POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ANASTOMOSE BILIODIGESTIVA INTRA-HEPÁTICA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Odontologia,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
ATRESIA DE VIAS BILIARES - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA HEPÁTICA POR LAPAROTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA HEPÁTICA POR VIDEOLAPAROSCOPIA,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA HEPÁTICA TRANSPARIETAL,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLECISTECTOMIA COM FÍSTULA BILIODIGESTIVA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLECISTECTOMIA COM FÍSTULA BILIODIGESTIVA POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLECISTECTOMIA COM OU SEM COLANGIOGRAFIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLECISTECTOMIA COM OU SEM COLANGIOGRAFIA POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLECISTOJEJUNOSTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLECISTOJEJUNOSTOMIA POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLECISTOSTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLECISTOSTOMIA POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLÉDOCO OU HEPÁTICO-JEJUNOSTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLÉDOCO OU HEPÁTICO-JEJUNOSTOMIA POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLÉDOCO OU HEPATICOPLASTIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLÉDOCO-DUODENOSTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLÉDOCO-DUODENOSTOMIA POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLEDOCOTOMIA OU COLEDOCOSTOMIA COM OU SEM COLECISTECTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLEDOCOTOMIA OU COLEDOCOSTOMIA COM OU SEM COLECISTECTOMIA POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Odontologia,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
COLEDOSCOPIA INTRA-OPERATÓRIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DERIVAÇÃO PORTO SISTÊMICA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESCONEXÃO ÁZIGOS - PORTAL COM OU SEM ESPLENECTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESCONEXÃO ÁZIGOS - PORTAL COM OU SEM ESPLENECTOMIA POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESVASCULARIZAÇÃO HEPÁTICA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DRENAGEM BILIAR TRANS-HEPÁTICA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENUCLEAÇÃO DE METÁSTASES HEPÁTICAS,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENUCLEAÇÃO DE METÁSTASES HEPÁTICAS POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESCLEROSE PERCUTÂNEA DIRIGIDA OU NÃO DE TUMOR HEPÁTICO (ALCOOLIZAÇÃO),,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HEPATORRAFIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HEPATORRAFIA COMPLEXA C/LESÃO DE ESTRUTURAS VASCULARES BILIARES,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LOBECTOMIA HEPÁTICA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PAPILOTOMIA TRANSDUODENAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PUNÇÃO HEPÁTICA PARA DRENAGEM DE ABSCESSOS,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PUNÇÃO HEPÁTICA PARA DRENAGEM DE ABSCESSOS POR VIDEOLAPAROSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTO DE COLÉDOCO - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"ABLAÇÃO POR RADIOFREQUÊNCIA/CRIOABLAÇÃO PERCUTÂNEA DO CÂNCER PRIMÁRIO HEPÁTICO GUIADA
POR ULTRASSONOGRAFIA E/OU TOMOGRAFIA COMPUTADORIZADA (COM DIRETRIZ DE UTILIZAÇÃO)",,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,1,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"ABLAÇÃO POR RADIOFREQUÊNCIA/CRIOABLAÇÃO DO CÂNCER PRIMÁRIO HEPÁTICO POR LAPAROTOMIA
(COM DIRETRIZ DE UTILIZAÇÃO)",,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,1,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"ABLAÇÃO POR RADIOFREQUÊNCIA/CRIOABLAÇÃO DO CÂNCER PRIMÁRIO HEPÁTICO POR
VIDEOLAPAROSCOPIA (COM DIRETRIZ DE UTILIZAÇÃO)",,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,1,FÍGADO E VIAS BILIARES,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Odontologia,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
